	1	2	coeff
472	MA0905.1	HOXC10	-0.649733803464
476	MA0909.1	HOXD13	-0.655945145474
347	MA0756.1	ONECUT2	-0.668712843551
73	MA0080.4	SPI1	-0.66980847522
390	MA0800.1	EOMES	-0.677548549068
64	MA0074.1	RXRA::VDR	-0.680615814761
307	MA0713.1	PHOX2A	-0.691718065499
467	MA0899.1	HOXA10	-0.699160407823
465	MA0894.1	HESX1	-0.703465519208
89	MA0099.2	FOS::JUN	-0.716637271636
177	MA0479.1	FOXH1	-0.722164029949
319	MA0726.1	VSX2	-0.738728406651
318	MA0725.1	VSX1	-0.738728406651
292	MA0695.1	ZBTB7C	-0.745019410628
158	MA0442.2	SOX10	-0.757558748188
11	MA0018.2	CREB1	-0.760182439324
139	MA0154.2	EBF1	-0.772136841201
368	MA0778.1	NFKB2	-0.781080540421
244	MA0642.1	EN2	-0.784876422953
277	MA0678.1	OLIG2	-0.789015532409
0	MA0002.1	RUNX1	-0.81083044079
142	MA0156.1	FEV	-0.813434141614
454	MA0878.1	CDX1	-0.846075360752
67	MA0077.1	SOX9	-0.863941463524
360	MA0770.1	HSF2	-0.870208295761
33	MA0042.1	FOXI1	-0.873593265978
230	MA0613.1	FOXG1	-0.875527410728
275	MA0674.1	NKX6-1	-0.895896989016
214	MA0526.1	USF2	-0.898320539841
507	MA1129.1	FOSL1::JUN(var.2)	-0.901021171995
291	MA0694.1	ZBTB7B	-0.924640634886
107	MA0112.3	ESR1	-0.930552993723
374	MA0784.1	POU1F1	-0.953462430414
219	MA0593.1	FOXP2	-0.953994157868
312	MA0718.1	RAX	-0.985175753766
376	MA0786.1	POU3F1	-0.99044548567
383	MA0793.1	POU6F2	-0.992440342446
136	MA0152.1	NFATC2	-0.995165243869
462	MA0891.1	GSC2	-1.00598478111
345	MA0754.1	CUX1	-1.01061255146
153	MA0163.1	PLAG1	-1.01392591496
100	MA0105.4	NFKB1	-1.02954511775
346	MA0755.1	CUX2	-1.03691424844
418	MA0830.1	TCF4	-1.05184413257
237	MA0635.1	BARHL2	-1.06393674951
228	MA0610.1	DMRT3	-1.06688091579
363	MA0773.1	MEF2D	-1.07829566242
280	MA0683.1	POU4F2	-1.10472038469
326	MA0734.1	GLI2	-1.1048214141
446	MA0866.1	SOX21	-1.15863751464
190	MA0496.1	MAFK	-1.1908946407
127	MA0141.3	ESRRB	-1.22054420119
